Property, Value
Time , 27-Nov-2019 10:28:57
Point, 1.000000e+00
Sample Name, ''
Batch code, mineraloil_tween80
Description, posriuelrsmfspmucprtce=t=1=2 15  0  
Comment, HPH continues measurement
Frequency, 1.000000e+00
Blocksize, 1.600000e+01
Duration, 1.000000e+04
Duration Unit, Measurements
Delay, 0.000000e+00
Max lag time, 2.000000e+03
Blocks to average, 4.000000e+00
Maximum depth, 1.000000e+03
Analysis Mode, flow
Solvent, Water
Manual Edge, ''
Set Temperature, ''
Particle refractive index, ''
Maximum depth analysed, 5.000000e+02
Edge boundary, 5.000000e+00
Moving average, 5.000000e+00
Quadratic flow fit, Linear
Minimum particle size, 5.000000e+00
Maximum particle size, 5.000000e+03
Number of size bins, 1.500000e+02
Regularization Lambda, 5.000000e+00
Fit limit for correlation, 1.000000e+00
Data Folder, D:\XsperGoData
Time, 27-Nov-2019 10:28:55
Z Average particle size (cumulant), 3.672128e+02
PDI (cumulant), 2.489069e-04
Shear Rate, 2.093136e+01
Mean size PSD, 8.382725e+02
D10 PSD, 1.416339e+02
D50 PSD, 5.545528e+02
D90 PSD, 1.906779e+03
Avr Peak PSD, 1.574110e+02
Zavr PSD, 3.427854e+02
PDI PSD, 8.733063e-01
Edge position (pixels), 7.600000e+01
Edge position from intercepts (pixels), 7.700000e+01
Last z value used in analysis (pixels), 5.000000e+02
Number of z points used in average, 5.000000e+00
Sample intensity, 1.759040e+05
Reference intensity, 3.900909e-01
Lambda, 5.000000e+00
Minimum particle size, 5.000000e+00
Maximum particle size, 5.000000e+03
Number of size points, 1.500000e+02

ParicleSize, IntensityPSD
5.000000e+00, 0.000000e+00
5.237261e+00, 0.000000e+00
5.485781e+00, 0.000000e+00
5.746094e+00, 0.000000e+00
6.018758e+00, 0.000000e+00
6.304362e+00, 0.000000e+00
6.603518e+00, 0.000000e+00
6.916870e+00, 0.000000e+00
7.245091e+00, 0.000000e+00
7.588887e+00, 0.000000e+00
7.948996e+00, 0.000000e+00
8.326194e+00, 0.000000e+00
8.721290e+00, 0.000000e+00
9.135135e+00, 0.000000e+00
9.568618e+00, 0.000000e+00
1.002267e+01, 0.000000e+00
1.049827e+01, 0.000000e+00
1.099643e+01, 0.000000e+00
1.151824e+01, 0.000000e+00
1.206481e+01, 0.000000e+00
1.263731e+01, 0.000000e+00
1.323698e+01, 0.000000e+00
1.386510e+01, 0.000000e+00
1.452303e+01, 0.000000e+00
1.521218e+01, 0.000000e+00
1.593403e+01, 0.000000e+00
1.669014e+01, 0.000000e+00
1.748212e+01, 0.000000e+00
1.831169e+01, 0.000000e+00
1.918062e+01, 0.000000e+00
2.009078e+01, 0.000000e+00
2.104413e+01, 0.000000e+00
2.204273e+01, 0.000000e+00
2.308870e+01, 0.000000e+00
2.418431e+01, 0.000000e+00
2.533191e+01, 0.000000e+00
2.653397e+01, 0.000000e+00
2.779307e+01, 0.000000e+00
2.911191e+01, 0.000000e+00
3.049333e+01, 0.000000e+00
3.194031e+01, 1.239454e-06
3.345595e+01, 6.629384e-06
3.504351e+01, 1.802141e-05
3.670640e+01, 3.644375e-05
3.844820e+01, 6.229487e-05
4.027266e+01, 9.550150e-05
4.218368e+01, 1.356468e-04
4.418539e+01, 1.820733e-04
4.628209e+01, 2.339658e-04
4.847828e+01, 2.904154e-04
5.077868e+01, 3.504710e-04
5.318824e+01, 4.131780e-04
5.571214e+01, 4.776071e-04
5.835581e+01, 5.428758e-04
6.112492e+01, 6.081638e-04
6.402544e+01, 6.727221e-04
6.706359e+01, 7.358791e-04
7.024590e+01, 7.970433e-04
7.357923e+01, 8.557030e-04
7.707073e+01, 9.114249e-04
8.072791e+01, 9.638507e-04
8.455863e+01, 1.012693e-03
8.857112e+01, 1.057730e-03
9.277402e+01, 1.098801e-03
9.717636e+01, 1.135801e-03
1.017876e+02, 1.168674e-03
1.066176e+02, 1.197408e-03
1.116769e+02, 1.222032e-03
1.169762e+02, 1.242605e-03
1.225270e+02, 1.259219e-03
1.283412e+02, 1.271988e-03
1.344312e+02, 1.281049e-03
1.408103e+02, 1.286554e-03
1.474921e+02, 1.288667e-03
1.544909e+02, 1.287564e-03
1.618218e+02, 1.283429e-03
1.695006e+02, 1.276448e-03
1.775438e+02, 1.266813e-03
1.859687e+02, 1.254714e-03
1.947933e+02, 1.240340e-03
2.040367e+02, 1.223880e-03
2.137187e+02, 1.205517e-03
2.238601e+02, 1.185430e-03
2.344828e+02, 1.163794e-03
2.456095e+02, 1.140775e-03
2.572642e+02, 1.116534e-03
2.694720e+02, 1.091225e-03
2.822590e+02, 1.064994e-03
2.956529e+02, 1.037980e-03
3.096822e+02, 1.010314e-03
3.243774e+02, 9.821190e-04
3.397698e+02, 9.535107e-04
3.558926e+02, 9.245971e-04
3.727805e+02, 8.954789e-04
3.904698e+02, 8.662493e-04
4.089985e+02, 8.369946e-04
4.284064e+02, 8.077943e-04
4.487352e+02, 7.787214e-04
4.700287e+02, 7.498426e-04
4.923326e+02, 7.212186e-04
5.156949e+02, 6.929044e-04
5.401658e+02, 6.649498e-04
5.657978e+02, 6.373992e-04
5.926462e+02, 6.102924e-04
6.207686e+02, 5.836647e-04
6.502255e+02, 5.575472e-04
6.810801e+02, 5.319671e-04
7.133989e+02, 5.069477e-04
7.472512e+02, 4.825092e-04
7.827100e+02, 4.586686e-04
8.198513e+02, 4.354399e-04
8.587551e+02, 4.128345e-04
8.995050e+02, 3.908615e-04
9.421885e+02, 3.695275e-04
9.868974e+02, 3.488373e-04
1.033728e+03, 3.287940e-04
1.082781e+03, 3.093986e-04
1.134161e+03, 2.906512e-04
1.187979e+03, 2.725501e-04
1.244352e+03, 2.550929e-04
1.303399e+03, 2.382757e-04
1.365248e+03, 2.220943e-04
1.430032e+03, 2.065432e-04
1.497891e+03, 1.916166e-04
1.568969e+03, 1.773080e-04
1.643420e+03, 1.636108e-04
1.721404e+03, 1.505176e-04
1.803088e+03, 1.380211e-04
1.888649e+03, 1.261138e-04
1.978269e+03, 1.147880e-04
2.072143e+03, 1.040362e-04
2.170471e+03, 9.385064e-05
2.273464e+03, 8.422399e-05
2.381345e+03, 7.514896e-05
2.494345e+03, 6.661851e-05
2.612708e+03, 5.862587e-05
2.736686e+03, 5.116461e-05
2.866548e+03, 4.422867e-05
3.002572e+03, 3.781237e-05
3.145051e+03, 3.191052e-05
3.294291e+03, 2.651838e-05
3.450612e+03, 2.163173e-05
3.614352e+03, 1.724690e-05
3.785861e+03, 1.336081e-05
3.965508e+03, 9.970951e-06
4.153681e+03, 7.075483e-06
4.350782e+03, 4.673207e-06
4.557236e+03, 2.763612e-06
4.773487e+03, 1.346904e-06
5.000000e+03, 8.681646e-07

number, time, CumulantZAverage, CumulantPDI, PSDMeanParticleSize, PSDpdi, d10, d50, d90, shearRate, temperature, edge, focus, refIntensity, quality, intensity, mainPeak, meanIntercept, avintensity
1.000000e+00, 1.323250e+00, 3.672128e+02, 2.489069e-04, 8.382725e+02, 8.733063e-01, 1.416339e+02, 5.545528e+02, 1.906779e+03, 2.093136e+01, 2.949625e+02, 7.600000e+01, 8.000000e+00, 3.900909e-01, 5.700000e+01, 1.759040e+05, 1.574110e+02, 4.209225e-01, 2.413480e+04

Time, Correlation, Squared
1.316250e-05, 9.973938e-01, 9.947944e-01
2.632500e-05, 9.947480e-01, 9.895236e-01
3.948750e-05, 9.920058e-01, 9.840754e-01
5.265000e-05, 9.893743e-01, 9.788614e-01
6.581250e-05, 9.867972e-01, 9.737687e-01
7.897500e-05, 9.842034e-01, 9.686563e-01
9.213750e-05, 9.815275e-01, 9.633962e-01
1.053000e-04, 9.788185e-01, 9.580857e-01
1.184625e-04, 9.761852e-01, 9.529376e-01
1.316250e-04, 9.736543e-01, 9.480027e-01
1.447875e-04, 9.711801e-01, 9.431908e-01
1.579500e-04, 9.686992e-01, 9.383781e-01
1.711125e-04, 9.660726e-01, 9.332963e-01
1.842750e-04, 9.635694e-01, 9.284659e-01
1.974375e-04, 9.610015e-01, 9.235238e-01
2.106000e-04, 9.584439e-01, 9.186147e-01
2.237625e-04, 9.558546e-01, 9.136581e-01
2.369250e-04, 9.532842e-01, 9.087508e-01
2.500875e-04, 9.506874e-01, 9.038064e-01
2.632500e-04, 9.481408e-01, 8.989709e-01
2.764125e-04, 9.457313e-01, 8.944077e-01
2.895750e-04, 9.432014e-01, 8.896288e-01
3.027375e-04, 9.405320e-01, 8.846005e-01
3.159000e-04, 9.379378e-01, 8.797274e-01
3.290625e-04, 9.355068e-01, 8.751730e-01
3.422250e-04, 9.332579e-01, 8.709703e-01
3.553875e-04, 9.307553e-01, 8.663054e-01
3.685500e-04, 9.281735e-01, 8.615061e-01
3.817125e-04, 9.255515e-01, 8.566455e-01
3.948750e-04, 9.234224e-01, 8.527089e-01
4.080375e-04, 9.208959e-01, 8.480493e-01
4.212000e-04, 9.184632e-01, 8.435747e-01
4.343625e-04, 9.159456e-01, 8.389564e-01
4.475250e-04, 9.133653e-01, 8.342361e-01
4.606875e-04, 9.108032e-01, 8.295625e-01
4.738500e-04, 9.083228e-01, 8.250503e-01
4.870125e-04, 9.058335e-01, 8.205343e-01
5.001750e-04, 9.033930e-01, 8.161189e-01
5.133375e-04, 9.008763e-01, 8.115780e-01
5.265000e-04, 8.983942e-01, 8.071121e-01
5.396625e-04, 8.958956e-01, 8.026288e-01
5.528250e-04, 8.933796e-01, 7.981272e-01
5.659875e-04, 8.909112e-01, 7.937227e-01
5.791500e-04, 8.884297e-01, 7.893074e-01
5.923125e-04, 8.859215e-01, 7.848569e-01
6.054750e-04, 8.834973e-01, 7.805675e-01
6.186375e-04, 8.810301e-01, 7.762140e-01
6.318000e-04, 8.786370e-01, 7.720030e-01
6.449625e-04, 8.762053e-01, 7.677357e-01
6.581250e-04, 8.735423e-01, 7.630762e-01
6.712875e-04, 8.711628e-01, 7.589247e-01
6.844500e-04, 8.687795e-01, 7.547778e-01
6.976125e-04, 8.664798e-01, 7.507873e-01
7.107750e-04, 8.645106e-01, 7.473785e-01
7.239375e-04, 8.620373e-01, 7.431084e-01
7.371000e-04, 8.595828e-01, 7.388826e-01
7.502625e-04, 8.572084e-01, 7.348063e-01
7.634250e-04, 8.548968e-01, 7.308485e-01
7.765875e-04, 8.526231e-01, 7.269661e-01
7.897500e-04, 8.502878e-01, 7.229894e-01
8.029125e-04, 8.479412e-01, 7.190044e-01
8.160750e-04, 8.455389e-01, 7.149360e-01
8.292375e-04, 8.432261e-01, 7.110303e-01
8.424000e-04, 8.409073e-01, 7.071252e-01
8.555625e-04, 8.386847e-01, 7.033921e-01
8.687250e-04, 8.363549e-01, 6.994895e-01
8.818875e-04, 8.340673e-01, 6.956683e-01
8.950500e-04, 8.317432e-01, 6.917968e-01
9.082125e-04, 8.294269e-01, 6.879489e-01
9.213750e-04, 8.271297e-01, 6.841435e-01
9.345375e-04, 8.248423e-01, 6.803648e-01
9.477000e-04, 8.225566e-01, 6.765993e-01
9.608625e-04, 8.202151e-01, 6.727527e-01
9.740250e-04, 8.179543e-01, 6.690492e-01
9.871875e-04, 8.160378e-01, 6.659178e-01
1.000350e-03, 8.137775e-01, 6.622338e-01
1.013512e-03, 8.115448e-01, 6.586049e-01
1.026675e-03, 8.095228e-01, 6.553271e-01
1.039837e-03, 8.073596e-01, 6.518295e-01
1.053000e-03, 8.051869e-01, 6.483259e-01
1.066162e-03, 8.029794e-01, 6.447759e-01
1.079325e-03, 8.006788e-01, 6.410866e-01
1.092487e-03, 7.984586e-01, 6.375362e-01
1.105650e-03, 7.962744e-01, 6.340530e-01
1.118812e-03, 7.941363e-01, 6.306524e-01
1.131975e-03, 7.918928e-01, 6.270941e-01
1.145137e-03, 7.898228e-01, 6.238201e-01
